ZIPCODE,city,state,LATITUDE,LONGITUDE
90045,Los Angeles,CA,33.96,-118.3949
90046,Los Angeles,CA,34.0989,-118.3624
90047,Los Angeles,CA,33.9585,-118.31
90048,Los Angeles,CA,34.0738,-118.3738
90049,Los Angeles,CA,34.0674,-118.4753
90050,Los Angeles,CA,33.7866,-118.2987
90051,Los Angeles,CA,33.7866,-118.2987
90052,Los Angeles,CA,33.7866,-118.2987
90053,Los Angeles,CA,33.7866,-118.2987
90054,Los Angeles,CA,33.7866,-118.2987
90055,Los Angeles,CA,33.7866,-118.2987
90056,Los Angeles,CA,33.9862,-118.371
90057,Los Angeles,CA,34.0619,-118.2769
90058,Los Angeles,CA,34.0002,-118.2261
90059,Los Angeles,CA,33.9275,-118.2478
90060,Los Angeles,CA,33.7866,-118.2987
90061,Los Angeles,CA,33.9234,-118.2759
90062,Los Angeles,CA,34.0032,-118.3078
90063,Los Angeles,CA,34.0452,-118.1865
90064,Los Angeles,CA,34.0346,-118.4284
90065,Los Angeles,CA,34.1076,-118.2266
90066,Los Angeles,CA,34.002,-118.4308
90067,Los Angeles,CA,34.0567,-118.4118
90068,Los Angeles,CA,34.1221,-118.3379
90069,West Hollywood,CA,34.091,-118.3813
90070,Los Angeles,CA,33.7866,-118.2987
90071,Los Angeles,CA,34.0527,-118.2559
90072,Los Angeles,CA,33.7866,-118.2987
90073,Los Angeles,CA,33.7866,-118.2987
90074,Los Angeles,CA,33.7866,-118.2987
90075,Los Angeles,CA,33.7866,-118.2987
90076,Los Angeles,CA,33.7866,-118.2987
90077,Los Angeles,CA,34.101,-118.4508
90078,Los Angeles,CA,33.7866,-118.2987
90079,Los Angeles,CA,33.7866,-118.2987
90080,Los Angeles,CA,33.7866,-118.2987
90081,Los Angeles,CA,33.7866,-118.2987
90082,Los Angeles,CA,33.7866,-118.2987
90083,Los Angeles,CA,33.7866,-118.2987
90084,Los Angeles,CA,33.7866,-118.2987
90086,Los Angeles,CA,33.7866,-118.2987
90087,Los Angeles,CA,33.7866,-118.2987
90088,Los Angeles,CA,33.7866,-118.2987
90089,Los Angeles,CA,33.7866,-118.2987
90091,Los Angeles,CA,33.7866,-118.2987
90093,Los Angeles,CA,33.7866,-118.2987
90094,Los Angeles,CA,33.7866,-118.2987
90095,Los Angeles,CA,33.7866,-118.2987
90096,Los Angeles,CA,33.7866,-118.2987
90097,Los Angeles,CA,33.7866,-118.2987
90099,Los Angeles,CA,33.7866,-118.2987
90101,Los Angeles,CA,33.7866,-118.2987
90102,Los Angeles,CA,33.7866,-118.2987
90103,Los Angeles,CA,33.7866,-118.2987
90174,Los Angeles,CA,33.7866,-118.2987
90185,Los Angeles,CA,33.7866,-118.2987
90201,Bell,CA,33.9728,-118.1739
90202,Bell Gardens,CA,33.7866,-118.2987
90204,Inglewood,CA,33.9447,-118.3569
90209,Beverly Hills,CA,33.7866,-118.2987
90210,Beverly Hills,CA,34.0888,-118.4061
90211,Beverly Hills,CA,34.066,-118.3827
90212,Beverly Hills,CA,34.0609,-118.4019
90213,Beverly Hills,CA,33.7866,-118.2987
90220,Compton,CA,33.8906,-118.2367
90221,Compton,CA,33.8933,-118.204
90222,Compton,CA,33.9107,-118.2362
90223,Compton,CA,33.7866,-118.2987
90224,Compton,CA,33.7866,-118.2987
90230,Culver City,CA,33.9972,-118.4015
90231,Culver City,CA,33.7866,-118.2987
90232,Culver City,CA,34.0216,-118.3917
90233,Culver City,CA,33.7866,-118.2987
90239,Downey,CA,33.7866,-118.2987
90240,Downey,CA,33.9584,-118.1199
90241,Downey,CA,33.9423,-118.129
90242,Downey,CA,33.9202,-118.1429
90245,El Segundo,CA,33.9213,-118.4084
90247,Gardena,CA,33.8913,-118.2975
90248,Gardena,CA,33.8705,-118.2881
90249,Gardena,CA,33.8993,-118.319
90250,Hawthorne,CA,33.9146,-118.3509
90251,Hawthorne,CA,33.7866,-118.2987
90254,Hermosa Beach,CA,33.8663,-118.3997
90255,Huntington Park,CA,33.9784,-118.2177
90260,Lawndale,CA,33.8884,-118.3536
90261,Lawndale,CA,33.8954,-118.3769
90262,Lynwood,CA,33.9246,-118.2019
90263,Malibu,CA,34.0351,-118.7075
90264,Malibu,CA,33.7866,-118.2987
90265,Malibu,CA,34.0511,-118.8077
90266,Manhattan Beach,CA,33.889,-118.4054
90267,Manhattan Beach,CA,33.7866,-118.2987
90270,Maywood,CA,33.9888,-118.1864
90272,Pacific Palisades,CA,34.0505,-118.5337
90274,Palos Verdes Peninsula,CA,33.7841,-118.3875
90275,Rancho Palos Verdes,CA,33.7582,-118.3643
90276,Redondo Beach,CA,33.8451,-118.3951
90277,Redondo Beach,CA,33.8288,-118.3832
90278,Redondo Beach,CA,33.8712,-118.3718
90280,South Gate,CA,33.9443,-118.1949
90290,Topanga,CA,34.1014,-118.5993
90291,Venice,CA,33.9924,-118.4653
90292,Marina Del Rey,CA,33.9764,-118.4546
90293,Playa Del Rey,CA,33.957,-118.4417
90294,Venice,CA,33.7866,-118.2987
90295,Marina Del Rey,CA,33.7866,-118.2987
90296,Playa Del Rey,CA,33.7866,-118.2987
90301,Inglewood,CA,33.9559,-118.3587
90302,Inglewood,CA,33.9753,-118.3556
90303,Inglewood,CA,33.9342,-118.3326
90304,Inglewood,CA,33.9362,-118.3608
90305,Inglewood,CA,33.9603,-118.3252
90306,Inglewood,CA,33.7866,-118.2987
90307,Inglewood,CA,33.7866,-118.2987
90308,Inglewood,CA,33.7866,-118.2987
90309,Inglewood,CA,33.7866,-118.2987
90310,Inglewood,CA,33.7866,-118.2987
90311,Inglewood,CA,33.7866,-118.2987
90312,Inglewood,CA,33.7866,-118.2987
90313,Inglewood,CA,33.7866,-118.2987
90397,Inglewood,CA,33.7866,-118.2987
90398,Inglewood,CA,33.7866,-118.2987
90401,Santa Monica,CA,34.0149,-118.4922
90402,Santa Monica,CA,34.0368,-118.5012
90403,Santa Monica,CA,34.0322,-118.4902
90404,Santa Monica,CA,34.027,-118.4743
90405,Santa Monica,CA,34.0093,-118.4729
90406,Santa Monica,CA,33.7866,-118.2987
90407,Santa Monica,CA,33.7866,-118.2987
90408,Santa Monica,CA,33.7866,-118.2987
90409,Santa Monica,CA,33.7866,-118.2987
90410,Santa Monica,CA,33.7866,-118.2987
90411,Santa Monica,CA,33.7866,-118.2987
90421,Santa Monica,CA,34.0103,-118.4941
90501,Torrance,CA,33.8288,-118.3137
90502,Torrance,CA,33.8334,-118.292
90503,Torrance,CA,33.8403,-118.3559
90504,Torrance,CA,33.8704,-118.3307
90505,Torrance,CA,33.8108,-118.351
90506,Torrance,CA,33.7866,-118.2987
90507,Torrance,CA,33.7866,-118.2987
90508,Torrance,CA,33.7866,-118.2987
90509,Torrance,CA,33.7866,-118.2987
90510,Torrance,CA,33.7866,-118.2987
90601,Whittier,CA,34.0023,-118.0356
90602,Whittier,CA,33.9676,-118.0338
90603,Whittier,CA,33.9414,-117.9948
90604,Whittier,CA,33.9292,-118.009
90605,Whittier,CA,33.9454,-118.0336
90606,Whittier,CA,33.9783,-118.0678
90607,Whittier,CA,33.7866,-118.2987
90608,Whittier,CA,33.7866,-118.2987
90609,Whittier,CA,33.7866,-118.2987
90610,Whittier,CA,33.7866,-118.2987
90612,Whittier,CA,33.7866,-118.2987
90620,Buena Park,CA,33.841,-118.0097
90621,Buena Park,CA,33.8757,-117.994
90622,Buena Park,CA,33.6403,-117.7694
90623,La Palma,CA,33.8493,-118.044
90624,Buena Park,CA,33.6403,-117.7694
90630,Cypress,CA,33.8175,-118.0399
90631,La Habra,CA,33.9345,-117.9516
90632,La Habra,CA,33.6403,-117.7694
90633,La Habra,CA,33.6403,-117.7694
90637,La Mirada,CA,33.7866,-118.2987
90638,La Mirada,CA,33.9021,-118.0097
90639,La Mirada,CA,33.9058,-118.0182
90640,Montebello,CA,34.0142,-118.1136
90650,Norwalk,CA,33.9069,-118.0834
90651,Norwalk,CA,33.7866,-118.2987
90652,Norwalk,CA,33.7866,-118.2987
90659,Norwalk,CA,33.7866,-118.2987
90660,Pico Rivera,CA,33.989,-118.0891
90661,Pico Rivera,CA,33.7866,-118.2987
90662,Pico Rivera,CA,33.7866,-118.2987
90665,Pico Rivera,CA,33.7866,-118.2987
90670,Santa Fe Springs,CA,33.9336,-118.0682
90671,Santa Fe Springs,CA,33.7866,-118.2987
90680,Stanton,CA,33.8036,-117.996
90701,Artesia,CA,33.8672,-118.0806
90702,Artesia,CA,33.7866,-118.2987
90703,Cerritos,CA,33.8683,-118.0675
90704,Avalon,CA,33.3686,-118.4084
90706,Bellflower,CA,33.8882,-118.1276
90707,Bellflower,CA,33.7866,-118.2987
90710,Harbor City,CA,33.7973,-118.3007
90711,Lakewood,CA,33.7866,-118.2987
90712,Lakewood,CA,33.852,-118.1468
90713,Lakewood,CA,33.8473,-118.1134
90714,Lakewood,CA,33.8512,-118.1339
90715,Lakewood,CA,33.841,-118.0778
90716,Hawaiian Gardens,CA,33.8286,-118.0736
90717,Lomita,CA,33.7934,-118.3161
90720,Los Alamitos,CA,33.794,-118.0722
90721,Los Alamitos,CA,33.6403,-117.7694
90723,Paramount,CA,33.8999,-118.1623
90731,San Pedro,CA,33.7324,-118.2891
90732,San Pedro,CA,33.7367,-118.3112
90733,San Pedro,CA,33.7866,-118.2987
90734,San Pedro,CA,33.7866,-118.2987
90740,Seal Beach,CA,33.7593,-118.0824
90742,Sunset Beach,CA,33.7182,-118.0718
90743,Surfside,CA,33.7298,-118.0863
90744,Wilmington,CA,33.784,-118.259
90745,Carson,CA,33.8238,-118.2668
90746,Carson,CA,33.8574,-118.2563
90747,Carson,CA,33.8671,-118.2538
90748,Wilmington,CA,33.7866,-118.2987
90749,Carson,CA,33.7866,-118.2987
90755,Long Beach,CA,33.8018,-118.1687
90774,Los Angeles,CA,33.783,-118.2387
90801,Long Beach,CA,33.8043,-118.201
90802,Long Beach,CA,33.769,-118.1923
90803,Long Beach,CA,33.7611,-118.1299
90804,Long Beach,CA,33.7835,-118.1518
90805,Long Beach,CA,33.8659,-118.1836
90806,Long Beach,CA,33.8018,-118.1858
90807,Long Beach,CA,33.8284,-118.1824
90808,Long Beach,CA,33.8233,-118.1133
90809,Long Beach,CA,33.7866,-118.2987
90810,Long Beach,CA,33.8162,-118.215
90813,Long Beach,CA,33.781,-118.192
90814,Long Beach,CA,33.7712,-118.1448
90815,Long Beach,CA,33.795,-118.1182
90822,Long Beach,CA,33.7761,-118.1185
90831,Long Beach,CA,33.7678,-118.1994
90832,Long Beach,CA,33.7866,-118.2987
90833,Long Beach,CA,33.7678,-118.1994
90834,Long Beach,CA,33.7678,-118.1994
90835,Long Beach,CA,33.7678,-118.1994
90840,Long Beach,CA,33.7843,-118.1157
90842,Long Beach,CA,33.7866,-118.2987
90844,Long Beach,CA,33.7866,-118.2987
90845,Long Beach,CA,33.7866,-118.2987
90846,Long Beach,CA,33.8249,-118.1504
90847,Long Beach,CA,33.7866,-118.2987
90848,Long Beach,CA,33.7866,-118.2987
90853,Long Beach,CA,33.7866,-118.2987
90879,Rancho Palos Verdes,CA,33.7697,-118.3134
90888,Long Beach,CA,33.7866,-118.2987
91001,Altadena,CA,34.1921,-118.1421
91003,Altadena,CA,33.7866,-118.2987
91006,Arcadia,CA,34.1341,-118.0266
91007,Arcadia,CA,34.127,-118.0522
91009,Duarte,CA,33.7866,-118.2987
91010,Duarte,CA,34.1377,-117.9657
91011,La Canada Flintridge,CA,34.2112,-118.1978
91012,La Canada Flintridge,CA,33.7866,-118.2987
91016,Monrovia,CA,34.1408,-118.0018
91017,Monrovia,CA,33.7866,-118.2987
91020,Montrose,CA,34.2115,-118.231
91021,Montrose,CA,33.7866,-118.2987
91023,Mount Wilson,CA,33.7866,-118.2987
91024,Sierra Madre,CA,34.1648,-118.0509
91025,Sierra Madre,CA,33.7866,-118.2987
91030,South Pasadena,CA,34.113,-118.1558
91031,South Pasadena,CA,33.7866,-118.2987
91040,Sunland,CA,34.2612,-118.3189
91041,Sunland,CA,33.7866,-118.2987
91042,Tujunga,CA,34.257,-118.2845
91043,Tujunga,CA,33.7866,-118.2987
91046,Verdugo City,CA,33.7866,-118.2987
91050,Pasadena,CA,33.7866,-118.2987
91051,Pasadena,CA,33.7866,-118.2987
91066,Arcadia,CA,33.7866,-118.2987
91077,Arcadia,CA,33.7866,-118.2987
91101,Pasadena,CA,34.1466,-118.1391
91102,Pasadena,CA,33.7866,-118.2987
91103,Pasadena,CA,34.1667,-118.159
91104,Pasadena,CA,34.1694,-118.1239
91105,Pasadena,CA,34.1379,-118.1633
91106,Pasadena,CA,34.1426,-118.1272
91107,Pasadena,CA,34.1511,-118.0897
91108,San Marino,CA,34.1227,-118.113
91109,Pasadena,CA,33.7866,-118.2987
91110,Pasadena,CA,33.7866,-118.2987
91114,Pasadena,CA,33.7866,-118.2987
91115,Pasadena,CA,33.7866,-118.2987
91116,Pasadena,CA,33.7866,-118.2987
91117,Pasadena,CA,33.7866,-118.2987
91118,San Marino,CA,33.7866,-118.2987
91121,Pasadena,CA,33.7866,-118.2987
91123,Pasadena,CA,33.7866,-118.2987
91124,Pasadena,CA,33.7866,-118.2987
91125,Pasadena,CA,33.7866,-118.2987
91126,Pasadena,CA,33.7866,-118.2987
91129,Pasadena,CA,33.7866,-118.2987
91131,Pasadena,CA,33.7866,-118.2987
91175,Pasadena,CA,33.7866,-118.2987
91182,Pasadena,CA,33.7866,-118.2987
91184,Pasadena,CA,33.7866,-118.2987
91185,Pasadena,CA,33.7866,-118.2987
91186,Pasadena,CA,33.7866,-118.2987
91187,Pasadena,CA,33.7866,-118.2987
91188,Pasadena,CA,33.7866,-118.2987
91189,Pasadena,CA,33.7866,-118.2987
91191,Pasadena,CA,33.7866,-118.2987
91201,Glendale,CA,34.1701,-118.2916
91202,Glendale,CA,34.1666,-118.2699
91203,Glendale,CA,34.1528,-118.2658
91204,Glendale,CA,34.1353,-118.2595
91205,Glendale,CA,34.1385,-118.243
91206,Glendale,CA,34.1567,-118.2294
91207,Glendale,CA,34.1654,-118.2453
91208,Glendale,CA,34.1896,-118.2286
91209,Glendale,CA,33.7866,-118.2987
91210,Glendale,CA,33.7866,-118.2987
91214,La Crescenta,CA,34.232,-118.2475
91221,Glendale,CA,33.7866,-118.2987
91222,Glendale,CA,33.7866,-118.2987
91224,La Crescenta,CA,33.7866,-118.2987
91225,Glendale,CA,33.7866,-118.2987
91226,Glendale,CA,33.7866,-118.2987
91301,Agoura Hills,CA,34.1395,-118.7607
91302,Calabasas,CA,34.1335,-118.6646
91303,Canoga Park,CA,34.1982,-118.6021
91304,Canoga Park,CA,34.2187,-118.6254
91305,Canoga Park,CA,33.7866,-118.2987
91306,Winnetka,CA,34.2094,-118.5774
91307,West Hills,CA,34.1977,-118.648
91308,West Hills,CA,33.7866,-118.2987
91309,Canoga Park,CA,33.7866,-118.2987
91310,Castaic,CA,33.7866,-118.2987
91311,Chatsworth,CA,34.2591,-118.5943
91312,Chatsworth,CA,33.7866,-118.2987
91313,Chatsworth,CA,33.7866,-118.2987
91316,Encino,CA,34.1688,-118.5164
91319,Newbury Park,CA,34.0324,-119.1343
91320,Newbury Park,CA,34.175,-118.9396
91321,Newhall,CA,34.3778,-118.5149
91322,Newhall,CA,33.7866,-118.2987
91324,Northridge,CA,34.2404,-118.5504
91325,Northridge,CA,34.2351,-118.5177
91326,Northridge,CA,34.2762,-118.5458
91327,Northridge,CA,33.7866,-118.2987
91328,Northridge,CA,33.7866,-118.2987
91329,Northridge,CA,33.7866,-118.2987
91330,Northridge,CA,33.7866,-118.2987
91331,Pacoima,CA,34.2548,-118.4241
91333,Pacoima,CA,33.7866,-118.2987
91334,Pacoima,CA,33.7866,-118.2987
91335,Reseda,CA,34.2001,-118.541
91337,Reseda,CA,33.7866,-118.2987
91340,San Fernando,CA,34.2849,-118.4382
91341,San Fernando,CA,33.7866,-118.2987
91342,Sylmar,CA,34.3079,-118.429
91343,North Hills,CA,34.2395,-118.4822
91344,Granada Hills,CA,34.2776,-118.5005
91345,Mission Hills,CA,34.2646,-118.4596
91346,Mission Hills,CA,33.7866,-118.2987
91350,Santa Clarita,CA,34.4812,-118.4282
91351,Canyon Country,CA,34.4248,-118.4451
91352,Sun Valley,CA,34.2241,-118.3756
91353,Sun Valley,CA,33.7866,-118.2987
91354,Valencia,CA,34.4453,-118.5525
91355,Valencia,CA,34.4065,-118.5621
91356,Tarzana,CA,34.1643,-118.5447
91357,Tarzana,CA,33.7866,-118.2987
91358,Thousand Oaks,CA,34.0324,-119.1343
91359,Westlake Village,CA,34.0324,-119.1343
91360,Thousand Oaks,CA,34.2088,-118.8735
91361,Westlake Village,CA,34.1435,-118.8561
91362,Thousand Oaks,CA,34.1908,-118.837
91363,Westlake Village,CA,33.7866,-118.2987
91364,Woodland Hills,CA,34.1582,-118.6006
91365,Woodland Hills,CA,33.7866,-118.2987
91367,Woodland Hills,CA,34.1762,-118.6199
91371,Woodland Hills,CA,33.7866,-118.2987
91372,Calabasas,CA,33.7866,-118.2987
91376,Agoura Hills,CA,33.7866,-118.2987
91377,Oak Park,CA,34.1829,-118.7689
91380,Santa Clarita,CA,33.7866,-118.2987
91381,Stevenson Ranch,CA,34.3847,-118.587
91382,Santa Clarita,CA,33.7866,-118.2987
91383,Santa Clarita,CA,33.7866,-118.2987
91384,Castaic,CA,34.4788,-118.6526
91385,Valencia,CA,33.7866,-118.2987
91386,Canyon Country,CA,33.7866,-118.2987
91387,Santa Clarita,CA,34.4215,-118.4192
91388,Van Nuys,CA,33.7866,-118.2987
91390,Santa Clarita,CA,34.49,-118.3008
91392,Sylmar,CA,33.7866,-118.2987
91393,North Hills,CA,33.7866,-118.2987
91394,Granada Hills,CA,33.7866,-118.2987
91395,Mission Hills,CA,33.7866,-118.2987
91396,Winnetka,CA,33.7866,-118.2987
91399,Woodland Hills,CA,33.7866,-118.2987
91401,Van Nuys,CA,34.1765,-118.4331
91402,Panorama City,CA,34.2238,-118.4432
91403,Sherman Oaks,CA,34.1525,-118.464
91404,Van Nuys,CA,33.7866,-118.2987
91405,Van Nuys,CA,34.1997,-118.4472
91406,Van Nuys,CA,34.2015,-118.4938
91407,Van Nuys,CA,33.7866,-118.2987
91408,Van Nuys,CA,33.7866,-118.2987
91409,Van Nuys,CA,33.7866,-118.2987
91410,Van Nuys,CA,33.7866,-118.2987
91411,Van Nuys,CA,34.1783,-118.4586
91412,Panorama City,CA,33.7866,-118.2987
91413,Sherman Oaks,CA,33.7866,-118.2987
91416,Encino,CA,33.7866,-118.2987
91423,Sherman Oaks,CA,34.1536,-118.4322
91426,Encino,CA,33.7866,-118.2987
91436,Encino,CA,34.1556,-118.4893
91470,Van Nuys,CA,33.7866,-118.2987
91482,Van Nuys,CA,33.7866,-118.2987
91495,Sherman Oaks,CA,33.7866,-118.2987
91496,Van Nuys,CA,33.7866,-118.2987
91497,Van Nuys,CA,33.7866,-118.2987
91499,Van Nuys,CA,33.7866,-118.2987
91501,Burbank,CA,34.1868,-118.3015
91502,Burbank,CA,34.1776,-118.3095
91503,Burbank,CA,33.7866,-118.2987
91504,Burbank,CA,34.2013,-118.3299
91505,Burbank,CA,34.1669,-118.3437
91506,Burbank,CA,34.1697,-118.3236
91507,Burbank,CA,33.7866,-118.2987
91508,Burbank,CA,33.7866,-118.2987
91510,Burbank,CA,33.7866,-118.2987
91521,Burbank,CA,33.7866,-118.2987
91522,Burbank,CA,33.7866,-118.2987
91523,Burbank,CA,33.7866,-118.2987
91526,Burbank,CA,33.7866,-118.2987
91601,North Hollywood,CA,34.1682,-118.3725
91602,North Hollywood,CA,34.1525,-118.3684
91603,North Hollywood,CA,33.7866,-118.2987
91604,Studio City,CA,34.1439,-118.3943
91605,North Hollywood,CA,34.2081,-118.4011
91606,North Hollywood,CA,34.1857,-118.3884
91607,Valley Village,CA,34.1657,-118.3999
91608,Universal City,CA,34.1394,-118.3503
91609,North Hollywood,CA,33.7866,-118.2987
91610,Toluca Lake,CA,33.7866,-118.2987
91611,North Hollywood,CA,33.7866,-118.2987
91612,North Hollywood,CA,33.7866,-118.2987
91614,Studio City,CA,33.7866,-118.2987
91615,North Hollywood,CA,33.7866,-118.2987
91616,North Hollywood,CA,33.7866,-118.2987
91617,Valley Village,CA,33.7866,-118.2987
91618,North Hollywood,CA,33.7866,-118.2987
91671,Los Angeles,CA,34.1752,-118.3822
91701,Alta Loma,CA,34.1317,-117.5924
91702,Azusa,CA,34.1289,-117.9031
91706,Baldwin Park,CA,34.0871,-117.9697
91708,Chino,CA,34.84,-115.9671
91709,Chino Hills,CA,33.9753,-117.7231
91710,Chino,CA,34.016,-117.6874
91711,Claremont,CA,34.11,-117.7197
91714,City Of Industry,CA,33.7866,-118.2987
91715,City Of Industry,CA,33.7866,-118.2987
91716,City Of Industry,CA,33.7866,-118.2987
91718,Corona,CA,33.7529,-116.0556
91719,Corona,CA,33.7357,-117.4205
91720,Corona,CA,33.7529,-116.0556
91722,Covina,CA,34.0977,-117.907
91723,Covina,CA,34.0858,-117.8869
91724,Covina,CA,34.0888,-117.8582
91729,Rancho Cucamonga,CA,34.84,-115.9671
91730,Rancho Cucamonga,CA,34.1046,-117.5873
91731,El Monte,CA,34.0766,-118.0394
91732,El Monte,CA,34.0707,-118.0138
91733,South El Monte,CA,34.0505,-118.0483
91734,El Monte,CA,33.7866,-118.2987
91735,El Monte,CA,33.7866,-118.2987
91737,Alta Loma,CA,34.1478,-117.5785
91739,Rancho Cucamonga,CA,34.1278,-117.5246
91740,Glendora,CA,34.1192,-117.8548
91741,Glendora,CA,34.1402,-117.857
91743,Guasti,CA,34.0667,-117.5883
91744,La Puente,CA,34.0296,-117.9398
91745,Hacienda Heights,CA,34.0006,-117.9694
91746,La Puente,CA,34.0469,-117.9846
91747,La Puente,CA,33.7866,-118.2987
91748,Rowland Heights,CA,33.985,-117.8971
91749,La Puente,CA,33.7866,-118.2987
91750,La Verne,CA,34.117,-117.771
91752,Mira Loma,CA,34.0018,-117.5276
91754,Monterey Park,CA,34.0482,-118.1416
91755,Monterey Park,CA,34.0547,-118.1182
91756,Monterey Park,CA,33.7866,-118.2987
91758,Ontario,CA,34.84,-115.9671
91759,Mt Baldy,CA,34.2316,-117.6611
91760,Norco,CA,33.7529,-116.0556
91761,Ontario,CA,34.0361,-117.6086
91762,Ontario,CA,34.0576,-117.6656
91763,Montclair,CA,34.0704,-117.6994
91764,Ontario,CA,34.0773,-117.6222
91765,Diamond Bar,CA,34.0042,-117.8167
91766,Pomona,CA,34.0456,-117.7531
91767,Pomona,CA,34.0801,-117.7386
91768,Pomona,CA,34.0652,-117.7793
91769,Pomona,CA,33.7866,-118.2987
91770,Rosemead,CA,34.0661,-118.0848
91771,Rosemead,CA,33.7866,-118.2987
91772,Rosemead,CA,33.7866,-118.2987
91773,San Dimas,CA,34.1033,-117.8181
91775,San Gabriel,CA,34.114,-118.0904
91776,San Gabriel,CA,34.0891,-118.0951
91778,San Gabriel,CA,33.7866,-118.2987
91780,Temple City,CA,34.1016,-118.0561
91784,Upland,CA,34.1386,-117.6636
91785,Upland,CA,34.84,-115.9671
91786,Upland,CA,34.1017,-117.6578
91788,Walnut,CA,33.7866,-118.2987
91789,Walnut,CA,34.0184,-117.8544
91790,West Covina,CA,34.0681,-117.9384
91791,West Covina,CA,34.0636,-117.8974
91792,West Covina,CA,34.0207,-117.8993
91793,West Covina,CA,33.7866,-118.2987
91795,Walnut,CA,33.7866,-118.2987
91797,Pomona,CA,33.7866,-118.2987
91798,Ontario,CA,34.84,-115.9671
91799,Pomona,CA,33.7866,-118.2987
91801,Alhambra,CA,34.0904,-118.127
91802,Alhambra,CA,33.7866,-118.2987
91803,Alhambra,CA,34.073,-118.1462
91804,Alhambra,CA,33.7866,-118.2987
91841,Alhambra,CA,33.7866,-118.2987
91896,Alhambra,CA,33.7866,-118.2987
91899,Alhambra,CA,33.7866,-118.2987
91901,Alpine,CA,32.8231,-116.7386
91902,Bonita,CA,32.6638,-117.0246
91903,Alpine,CA,33.0169,-116.846
91905,Boulevard,CA,32.6722,-116.315
91906,Campo,CA,32.6643,-116.4651
91908,Bonita,CA,33.0169,-116.846
91909,Chula Vista,CA,33.0169,-116.846
91910,Chula Vista,CA,32.6387,-117.0669
91911,Chula Vista,CA,32.6088,-117.0607
91912,Chula Vista,CA,33.0169,-116.846
91913,Chula Vista,CA,32.6425,-116.9897
91914,Chula Vista,CA,32.6626,-116.9541
91915,Chula Vista,CA,32.6381,-116.952
91916,Descanso,CA,32.8904,-116.6246
91917,Dulzura,CA,32.6165,-116.7119
91921,Chula Vista,CA,33.0169,-116.846
91927,La Presa,CA,32.7015,-117.0021
91931,Guatay,CA,32.8521,-116.5556
91932,Imperial Beach,CA,32.5796,-117.1171
91933,Imperial Beach,CA,33.0169,-116.846
91934,Jacumba,CA,32.6244,-116.1703
91935,Jamul,CA,32.7182,-116.8261
91941,La Mesa,CA,32.7618,-117.0127
91942,La Mesa,CA,32.785,-117.0186
91943,La Mesa,CA,33.0169,-116.846
91944,La Mesa,CA,33.0169,-116.846
91945,Lemon Grove,CA,32.7335,-117.0337
91946,Lemon Grove,CA,33.0169,-116.846
91947,Lincoln Acres,CA,33.0169,-116.846
91948,Mount Laguna,CA,32.8753,-116.4283
91950,National City,CA,32.6709,-117.0927
91951,National City,CA,33.0169,-116.846
91962,Pine Valley,CA,32.7733,-116.4914
91963,Potrero,CA,32.6208,-116.6067
91976,Spring Valley,CA,33.0169,-116.846
91977,Spring Valley,CA,32.7211,-116.9961
