FID,Status,Score,Match_type,Match_addr,Number,LONGITUDE,LATITUDE,UID,ProgType,Agency,ProgName,InvType,BedType,TargetPop,SubPop,PopB,PopC,McKVento,UtilizRate,Address,Address2,City_1,ZIP,GEOID,Contact,Title,Phone,Email,SPA,SD,CD,CTs,Beds,Units,PIT,SkidRow,Veterans
34,M,92.5,A,"3530 Wilshire Blvd, Los Angeles, CA, 00000",1,-118.301217,34.061688,119-003707,TH,County of Los Angeles Department of Children and Family Services (DCFS),Transitional Housing Program For Homeless Young People: SPA 6,C,0,SMF+HC,Youth,NA,Youth (Emancipated Foster Youth),Yes,0.43,3530 Wilshire Blvd, 4th Floor,Los Angeles,90010,62118,Bedrae Davis,CSA II,(213) 351-0188,DavisB@dcfs.lacounty.gov,SPA 4,SD 2,CD 10,212410,14, ,6, , 
35,M,89.04,A,"10424 S Figueroa St, Los Angeles, CA, 90003",1,-118.28254,33.94146,406-017454,PSH,Coalition for Responsible Community Development,CRCD Apartments,N,0,SMF,Individual,NA, ,Yes,0.88,10424 S. Figueroa, ,Los Angeles,90003,62118,Ishimine Caldwell,Manager of Supportive Services,(323) 234-4909,icaldwell@coalitionrcd.org,SPA 6,SD 2,CD 8,241110,16, ,14, , 
36,M,92.5,A,"3530 Wilshire Blvd, Los Angeles, CA, 00000",1,-118.301217,34.061688,119-003709,TH,County of Los Angeles Department of Children and Family Services (DCFS),THP for Homeless Young People - CA7015,C,0,SMF+HC,Youth,NA,Youth (Emancipated Foster Youth),Yes,0.33,3530 Wilshire Blvd, 4th Floor,Los Angeles,90010,62118,Bedrae Davis,CSA II,(213) 351-0188,DavisB@dcfs.lacounty.gov,SPA 4,SD 2,CD 10,212410,9, ,3, , 
37,M,92.5,A,"3530 Wilshire Blvd, Los Angeles, CA, 00000",1,-118.301217,34.061688,119-003705,TH,County of Los Angeles Department of Children and Family Services (DCFS),Transitional Housing Program For Homeless Young People: SPA 6(3),C,0,SMF+HC,Youth,NA,Youth (Emancipated Foster Youth),Yes,0.28,3530 Wilshire Blvd, 4th Floor,Los Angeles,90010,62118,Bedrae Davis,CSA II,(213) 351-0188,DavisB@dcfs.lacounty.gov,SPA 4,SD 2,CD 10,212410,18, ,5, , 
38,M,100,PP, ,1,-118.235429,34.06096,102-009007,TH,"Prototypes, Inc.",Star House,C,0,SFHC,Family,DV,NA,Yes,0.62,Confidential, ,Los Angeles,90012,62118,Rabeya Sen,Manager II,(323) 464-6281,rsen@prototypes.org,SPA 4,SD 3,CD 13,191000,34, ,21, , 
39,M,92.5,A,"3530 Wilshire Blvd, Los Angeles, CA, 00000",1,-118.301217,34.061688,119-003706,TH,County of Los Angeles Department of Children and Family Services (DCFS),Transitional Housing Program For Homeless Young People: SPA 4,C,0,SMF+HC,Youth,NA,Youth (Emancipated Foster Youth),Yes,0.25,3530 Wilshire Blvd, 4th Floor,Los Angeles,90010,62118,Bedrae Davis,CSA II,(213) 351-0188,DavisB@dcfs.lacounty.gov,SPA 4,SD 2,CD 10,212410,20, ,5, , 
40,M,100,A,"566 S San Pedro St, Los Angeles, CA, 90013",1,-118.244884,34.042609,024-006355,TH,"JWCH Institute, Inc.",Recuperative Care Transitional Housing,C,0,SMF,Individual,NA,Chronically Homeless,Yes,1,566 S. San Pedro St., ,Los Angeles,90013,62118,Marcus Hong,Director,(323) 356-2545,mhong@jwchinstitute.org,SPA 4,SD 2,CD 14,206300,21, ,21,Skidrow, 
41,M,100,A,"1006 E 28th St, Los Angeles, CA, 90011",1,-118.257324,34.017391,234-003401,PSH,Coalition for Responsible Community Development,28th St. Apartments,C,0,SMF,Individual,NA,Mentally Ill,No,0.23,1006 E. 28th St., ,Los Angeles,90011,62118,Vanessa Luna,Housing Director,(213) 316-0108,vluna@mhala.org,SPA 6,SD 2,CD 9,226700,30, ,7, , 
42,M,100,A,"566 S San Pedro St, Los Angeles, CA, 90013",1,-118.244884,34.042609,043-011430,ES,Weingart Center Association,Coordinated Assessment Motel Vouchers,C,Voucher beds,SMF+HC,Family,NA, ,Yes,1,566 S SAN PEDRO ST, ,Los Angeles,90013,62118,Jason Hall,Quality Assurance Manager,(213) 689-2167,jasonh@weingart.org,SPA 4,SD 2,CD 14,206300,3, ,3,Skidrow, 
43,M,100,A,"244 S San Pedro St, Los Angeles, CA, 90012",1,-118.242073,34.048199,211-001700,TH,"Asian Pacific Women's Center, Inc.",APWC Transitional Housing Program,C,0,SFHC,Family,DV,Chronically Homeless,Yes,1.15,244 S San Pedro St, Suite 504,Los Angeles,90012,62118,Kristina Rim,Program Director,(213) 250-2977,krim@apwcla.org,SPA 4,SD 1,CD 12,206200,13, ,15,Skidrow, 
44,M,100,A,"543 Crocker St, Los Angeles, CA, 90013",1,-118.243469,34.042806,083-011268,ES,Volunteers of America of Los Angeles,Year Round Shelter Program,C,Facility-based beds,SMF,Individual,NA,NA,Yes,0.92,543 CROCKER ST, ,Los Angeles,90013,62118,Henery Wilson,Program Director,(213) 799-1832,henerywil@aol.com,SPA 4,SD 2,CD 14,206300,40, ,37,Skidrow, 
45,M,100,A,"545 S San Pedro St, Los Angeles, CA, 90013",1,-118.244766,34.042993,314-010851,TH,Union Rescue Mission,Residential Recovery Program (CLDP),C,0,SM,Individual,NA,NA,No,0.42,545 S SAN PEDRO ST, ,Los Angeles,90013,62118,Steve Borja,VP of Programs,(213) 347-6318,sborja@urm.org,SPA 4,SD 2,CD 14,206300,176, ,74,Skidrow, 
46,M,100,A,"545 S San Pedro St, Los Angeles, CA, 90013",1,-118.244766,34.042993,314-010867,TH,Union Rescue Mission,Gateway Transitional Men,C,0,SMF,Individual,NA,NA,No,0.91,545 S SAN PEDRO ST, ,Los Angeles,90013,62118,Steve Borja,VP of Programs,(213) 347-6318,sborja@urm.org,SPA 4,SD 2,CD 14,206300,277, ,253,Skidrow, 
47,M,100,A,"545 S San Pedro St, Los Angeles, CA, 90013",1,-118.244766,34.042993,314-010850,ES,Union Rescue Mission,Men's Guest Services - Emergency Shelter,C,Facility-based beds,SMF,Individual,NA,NA,No,0.88,545 S SAN PEDRO ST, ,Los Angeles,90013,62118,Steve Borja,VP of Programs,(213) 347-6318,sborja@urm.org,SPA 4,SD 2,CD 14,206300,111, ,98,Skidrow, 
48,M,100,A,"566 S San Pedro St, Los Angeles, CA, 90013",1,-118.244884,34.042609,043-011403,ES,Weingart Center Association,Mental Health Specialized Shelter Bed Program,C,Facility-based beds,SMF,Individual,NA,Mentally Ill,No,1,566 S SAN PEDRO ST, ,Los Angeles,90013,62118,Vernon Nickerson,Director of Contracts,(213) 689-2111,vernonn@weingart.org,SPA 4,SD 2,CD 14,206300,2, ,2,Skidrow, 
49,M,100,A,"545 S San Pedro St, Los Angeles, CA, 90013",1,-118.244766,34.042993,314-010857,ES,Union Rescue Mission,Women's and Children Emergency Beds - 1st STEP Family,C,Facility-based beds,HC,Family,NA,NA,No,1,545 S SAN PEDRO ST, ,Los Angeles,90013,62118,Steve Borja,VP of Programs,(213) 347-6318,sborja@urm.org,SPA 4,SD 2,CD 14,206300,79, ,79,Skidrow, 
50,M,100,A,"545 S San Pedro St, Los Angeles, CA, 90013",1,-118.244766,34.042993,314-010865,TH,Union Rescue Mission,Apprentice,C,0,SM,Individual,NA,NA,No,0.53,545 S. San Pedro St., ,Los Angeles,90013,62118,Steve Borja,VP of Programs,(213) 347-6318,sborja@urm.org,SPA 4,SD 2,CD 14,206300,88, ,47,Skidrow, 
51,M,100,A,"1000 N Alameda St, Los Angeles, CA, 90012",1,-118.236703,34.059456,102-009010,PSH,"Prototypes, Inc.",Women's Center - Shelter Plus Care - Tenant Based,C,0,HC,Family,NA,Multi-Diagnosed,Yes,0.83,1000 N Alameda St Ste 390, ,Los Angeles,90012,62118,Christina Henderson,Housing Coordinator,(909) 621-9052,chenderson@prototypes.org,SPA 4,SD 1,CD 1,206020,48, ,40, , 
52,M,100,A,"434 S San Pedro St, Los Angeles, CA, 90013",1,-118.243396,34.044879,245-004202,PSH,Downtown Women Center,Residence,C,0,SF,Individual,NA,Mentally Ill,No,0.73,434 S. San Pedro St., ,Los Angeles,90013,62118,Cheryl Castillo,Director of Program Services,(213) 213-2837,cherlyc@dwcweb.org,SPA 4,SD 1,CD 14,206200,71, ,52,Skidrow, 
53,M,100,A,"331 S Los Angeles St, Los Angeles, CA, 90013",1,-118.245381,34.047903,245-004201,PSH,Downtown Women Center,Jill's Place,C,0,SF,Individual,NA,Chronically Homeless,Yes,1,331 S. Los Angeles St., ,Los Angeles,90013,62118,Cheryl Castillo,Director of Program Services,(213) 213-2837,cherlyc@dwcweb.org,SPA 4,SD 1,CD 14,207300,48, ,48,Skidrow, 
54,M,100,A,"349 E 1st St, Los Angeles, CA, 90012",1,-118.239557,34.049568,092-006502,PSH,LTSC Community Development Corporation,Far East Building,C,0,SMF,Individual,NA,Physically Disabled,Yes,1,349 E 1ST ST, ,LOS ANGELES,90012,62118,Vivian Lee,Program Coordinator,(213) 473-3035,vlee@ltsc.org,SPA 4,SD 1,CD 14,206200,4, ,4,Skidrow, 
55,M,100,A,"231 Winston St, Los Angeles, CA, 90013",1,-118.246448,34.046234,309-010401,TH,Society of St. Vincent de Paul Social Services,Cardinal Manning Center-Men's Advancement Program,C,0,SM,Individual,NA,NA,No,0.8,231 WINSTON ST, ,Los Angeles,90013,62118,Gigi Tsontos,Director of Social Services,(213) 229-9970,gtsontos@svdpla.org,SPA 4,SD 1,CD 14,206200,10, ,8,Skidrow, 
56,M,100,A,"530 E 5th St, Los Angeles, CA, 90013",1,-118.243539,34.043976,249-004451,ES,Emmanuel Baptist Mission of Los Angeles,Short-Term Lodging,C,Facility-based beds,SM,Individual,NA,NA,No,0.88,530 E 5th St, ,Los Angeles,90013,62118,Robert Cole,Operations Director,(213) 626-4681,www.ebrm.org,SPA 4,SD 2,CD 14,206300,33, ,29,Skidrow, 
57,M,100,A,"502 San Julian St, Los Angeles, CA, 90013",1,-118.244956,34.044497,036-009833,PSH,Skid Row Housing Trust,Skid Row Housing - Scattered Sites 275,C,0,SMF,Individual,NA,NA,Yes,0.77,502 SAN JULIAN ST, ,Los Angeles,90013,62118,LaCheryl Porter,Housing Operations Director,(213) 683-0522,lacheryl@skidrow.org,SPA 4,SD 2,CD 14,206300,278, ,214,Skidrow, 
58,M,100,A,"231 Winston St, Los Angeles, CA, 90013",1,-118.246448,34.046234,309-010400,ES,Society of St. Vincent de Paul Social Services,Cardinal Manning Center- Emergency Transitions,C,Facility-based beds,SM,Individual,NA,NA,No,0.98,231 WINSTON ST, ,Los Angeles,90013,62118,Gigi Tsontos,Director of Social Services,(213) 229-9970,atsontos@svdpla.org,SPA 4,SD 1,CD 14,206200,55, ,54,Skidrow, 
59,M,100,A,"108 E 5th St, Los Angeles, CA, 90013",1,-118.248199,34.046452,036-009812,PSH,Skid Row Housing Trust,New Pershing Hotel,N,0,SMF,Individual,NA,NA,No,0,108 E 5TH ST, ,Los Angeles,90013,62118,LaCheryl Porter,Housing Operations Director,(213) 683-0522,lacheryl@skidrow.org,SPA 4,SD 1,CD 14,207300,61, ,0,Skidrow, 
60,M,90.87,A,"534 Crocker St, Los Angeles, CA, 90013",1,-118.243236,34.042876,083-011267,TH,Volunteers of America of Los Angeles,The Barracks: Safe Haven for Chronically Homeless Vets,C,0,SM,Individual,NA,Multi-Diagnosed,No,0.78,534 S. Crocker St, ,Los Angeles,90013,62118,Johnny Glanton,Program Manager,(310) 204-0690,jglanton@voala.org,SPA 4,SD 2,CD 14,206300,40, ,31,Skidrow,Veterans
61,M,90.87,A,"517 San Julian St, Los Angeles, CA, 90013",1,-118.245221,34.044307,039-009750,TH,Los Angeles Single Room Occupancy Housing Corporation,GPD - Veterans Transitional Housing VTP 24,C,0,SMF,Individual,NA,NA,No,0.88,517 S. San Julian St., ,Los Angeles,90013,62118,Rosalind Harris,Program Manager,(213) 229-9680,rharris@srohousing.org,SPA 4,SD 2,CD 14,206300,24, ,21,Skidrow,Veterans
62,M,100,PP, ,1,-118.243007,34.045918,092-006503,TH,LTSC Community Development Corporation,Kosumosu Transitional Housing,C,0,SFHC,Family,DV,NA,Yes,0.58,Confidential, ,Los Angeles,90013,62118,Vivian Lee,Program Coordinator,(213) 473-3035,vlee@ltsc.org,SPA 4,SD 1,CD 14,206200,24, ,14,Skidrow, 
63,M,100,A,"611 E 5th St, Los Angeles, CA, 90013",1,-118.242578,34.043515,036-009821,PSH,Skid Row Housing Trust,St. Mark's Hotel,C,0,SMF,Individual,NA,NA,No,1,611 E 5TH ST, ,Los Angeles,90013,62118,LaCheryl Porter,Housing Operations Director,(213) 683-0522,lacheryl@skidrow.org,SPA 4,SD 1,CD 14,206200,89, ,89,Skidrow, 
64,M,100,A,"115 E 3rd St, Los Angeles, CA, 90013",1,-118.245341,34.048992,036-009830,PSH,Skid Row Housing Trust,St. George Hotel 15,C,0,SMF,Individual,NA,NA,Yes,0.8,115 E 3RD ST, ,Los Angeles,90013,62118,LaCheryl Porter,Housing Operations Director,(213) 683-0522,lacheryl@skidrow.org,SPA 4,SD 1,CD 14,207300,15, ,12,Skidrow, 
65,M,100,A,"115 E 3rd St, Los Angeles, CA, 90013",1,-118.245341,34.048992,036-009820,PSH,Skid Row Housing Trust,St. George Hotel 69,C,0,SMF,Individual,NA,Chronically Homeless,Yes,0.97,115 E 3RD ST, ,Los Angeles,90013,62118,LaCheryl Porter,Housing Operations Director,(213) 683-0522,lacheryl@skidrow.org,SPA 4,SD 1,CD 14,207300,69, ,67,Skidrow, 
66,M,100,A,"526 S San Pedro St, Los Angeles, CA, 90013",1,-118.244314,34.043423,028-006411,PSH,"LAMP Community, Inc.",United Way SS FA 1,C,0,SMF,Individual,NA,Chronically Homeless,No,0.97,526 S. San Pedro St., ,Los Angeles,90013,62118,Carolina Cortazar,Associate Director,(213) 935-8707 x 250,carolinac@lampcommunity.org,SPA 4,SD 2,CD 14,206300,34, ,33,Skidrow, 
